1	9	0.0096
room0	9.40241	Client4 send message
room0	9.40481	Client 4 Received message from 4
room0	9.40481	Client 5 Received message from 4
room0	9.40481	Client 2 Received message from 4
room0	9.40481	Client 9 Received message from 4
room0	9.40481	Client 10 Received message from 4
room0	9.40481	Client 8 Received message from 4
room0	9.40481	Client 6 Received message from 4
room0	9.40481	Client 7 Received message from 4
room0	9.40481	Client 1 Received message from 4
1:1msg	9.50241	Client 8 send to Client9
1:1msg	9.50481	Client 9 Recevied 1:1 message from 8
1:1msg	9.60241	Client 5 send to Client9
1:1msg	9.60481	Client 9 Recevied 1:1 message from 5
room0	9.70241	Client6 send message
room0	9.70481	Client 6 Received message from 6
room0	9.70481	Client 5 Received message from 6
room0	9.70481	Client 2 Received message from 6
room0	9.70481	Client 9 Received message from 6
room0	9.70481	Client 10 Received message from 6
room0	9.70481	Client 7 Received message from 6
room0	9.70481	Client 4 Received message from 6
room0	9.70481	Client 1 Received message from 6
room0	9.7049	Client 8 Received message from 6
1:1msg	9.90241	Client 10 send to Client5
1:1msg	9.90481	Client 5 Recevied 1:1 message from 10
1	10	0.008
1:1msg	10.0024	Client 1 send to Client11
1:1msg	10.0048	Client 11 Recevied 1:1 message from 1
1:1msg	10.8024	Client 9 send to Client10
1:1msg	10.8048	Client 10 Recevied 1:1 message from 9
1	11	0.0032
1:1msg	11.0024	Client 1 send to Client6
1:1msg	11.0048	Client 6 Recevied 1:1 message from 1
1:1msg	11.2024	Client 3 send to Client2
1:1msg	11.2048	Client 2 Recevied 1:1 message from 3
1:1msg	11.4024	Client 4 send to Client6
1:1msg	11.4048	Client 6 Recevied 1:1 message from 4
1:1msg	11.5024	Client 8 send to Client5
1:1msg	11.5048	Client 5 Recevied 1:1 message from 8
1:1msg	11.6024	Client 5 send to Client4
1:1msg	11.6049	Client 4 Recevied 1:1 message from 5
1:1msg	11.7024	Client 6 send to Client7
1:1msg	11.7048	Client 7 Recevied 1:1 message from 6
1:1msg	11.8024	Client 9 send to Client3
1:1msg	11.8048	Client 3 Recevied 1:1 message from 9
1:1msg	11.9024	Client 10 send to Client9
1:1msg	11.9048	Client 9 Recevied 1:1 message from 10
1	12	0.0128
1:1msg	12.0024	Client 7 send to Client5
1:1msg	12.0048	Client 5 Recevied 1:1 message from 7
room1	12.1024	members: 4 5 7 2
room1	12.1024	Client2 make new chatting room
room1	12.1048	Client 2 invited
room1	12.1048	Client 4 invited
room1	12.1048	Client 5 invited
room1	12.1048	Client 7 invited
1:1msg	12.2024	Client 3 send to Client5
1:1msg	12.2048	Client 5 Recevied 1:1 message from 3
1:1msg	12.3024	Client 11 send to Client9
1:1msg	12.3048	Client 9 Recevied 1:1 message from 11
room0	12.9024	Client10 send message
room0	12.9048	Client 10 Received message from 10
room0	12.9048	Client 5 Received message from 10
room0	12.9048	Client 2 Received message from 10
room0	12.9048	Client 9 Received message from 10
room0	12.9048	Client 8 Received message from 10
room0	12.9048	Client 6 Received message from 10
room0	12.9048	Client 7 Received message from 10
room0	12.9048	Client 4 Received message from 10
room0	12.9048	Client 1 Received message from 10
1	13	0.008
1:1msg	13.0024	Client 1 send to Client10
1:1msg	13.0048	Client 10 Recevied 1:1 message from 1
room1	13.1024	Client2 send message
room1	13.1048	Client 2 Received message from 2
room1	13.1048	Client 4 Received message from 2
room1	13.1048	Client 5 Received message from 2
room1	13.1048	Client 7 Received message from 2
1:1msg	13.5024	Client 8 send to Client11
1:1msg	13.5048	Client 11 Recevied 1:1 message from 8
room1	13.6024	Client5 send message
room1	13.6048	Client 5 Received message from 5
room1	13.6048	Client 4 Received message from 5
room1	13.6048	Client 7 Received message from 5
room1	13.6048	Client 2 Received message from 5
1:1msg	13.7024	Client 6 send to Client5
1:1msg	13.7048	Client 5 Recevied 1:1 message from 6
1:1msg	13.8024	Client 9 send to Client6
1:1msg	13.8048	Client 6 Recevied 1:1 message from 9
1	14	0.0096
1:1msg	14.3024	Client 11 send to Client7
1:1msg	14.3048	Client 7 Recevied 1:1 message from 11
1:1msg	14.4024	Client 4 send to Client3
