room0	8.70202	Client 1 Received message from 6
room0	8.80006	Client9 send message
room0	8.80023	Client 9 Received message from 9
room0	8.80041	Client 5 Received message from 9
room0	8.80076	Client 2 Received message from 9
room0	8.80101	Client 10 Received message from 9
room0	8.80129	Client 8 Received message from 9
room0	8.80174	Client 6 Received message from 9
room0	8.80207	Client 7 Received message from 9
room0	8.8026	Client 4 Received message from 9
room0	8.80293	Client 1 Received message from 9
1	9	0.0112
room0	9.40006	Client4 send message
room0	9.40029	Client 4 Received message from 4
room0	9.40057	Client 5 Received message from 4
room0	9.40082	Client 2 Received message from 4
room0	9.40099	Client 9 Received message from 4
room0	9.40116	Client 10 Received message from 4
room0	9.40132	Client 8 Received message from 4
room0	9.40149	Client 6 Received message from 4
room0	9.4017	Client 7 Received message from 4
room0	9.40197	Client 1 Received message from 4
1:1msg	9.60006	Client 5 send to Client9
1:1msg	9.60026	Client 9 Recevied 1:1 message from 5
room0	9.70006	Client6 send message
room0	9.70029	Client 6 Received message from 6
room0	9.70051	Client 5 Received message from 6
room0	9.70071	Client 2 Received message from 6
room0	9.70088	Client 9 Received message from 6
room0	9.70104	Client 10 Received message from 6
room0	9.70124	Client 8 Received message from 6
room0	9.70143	Client 7 Received message from 6
room0	9.70163	Client 4 Received message from 6
room0	9.7019	Client 1 Received message from 6
1:1msg	9.90006	Client 10 send to Client5
1:1msg	9.90023	Client 5 Recevied 1:1 message from 10
1	10	0.0064
1:1msg	10.0001	Client 1 send to Client11
1:1msg	10.0003	Client 11 Recevied 1:1 message from 1
1:1msg	10.8001	Client 9 send to Client10
1:1msg	10.8002	Client 10 Recevied 1:1 message from 9
1	11	0.0032
1:1msg	11.0001	Client 1 send to Client6
1:1msg	11.0004	Client 6 Recevied 1:1 message from 1
room0	11.1001	Client2 send message
room0	11.1003	Client 2 Received message from 2
room0	11.1006	Client 5 Received message from 2
room0	11.1008	Client 9 Received message from 2
room0	11.101	Client 10 Received message from 2
room0	11.1012	Client 8 Received message from 2
room0	11.1015	Client 6 Received message from 2
room0	11.1018	Client 7 Received message from 2
room0	11.1021	Client 4 Received message from 2
room0	11.1024	Client 1 Received message from 2
1:1msg	11.5001	Client 8 send to Client5
1:1msg	11.5002	Client 5 Recevied 1:1 message from 8
1:1msg	11.6001	Client 5 send to Client6
1:1msg	11.6003	Client 6 Recevied 1:1 message from 5
1:1msg	11.7001	Client 6 send to Client4
1:1msg	11.7005	Client 4 Recevied 1:1 message from 6
1:1msg	11.8001	Client 9 send to Client6
1:1msg	11.8005	Client 6 Recevied 1:1 message from 9
1:1msg	11.9001	Client 10 send to Client3
1:1msg	11.9003	Client 3 Recevied 1:1 message from 10
1	12	0.0112
1:1msg	12.0004	Client 7 send to Client10
1:1msg	12.0007	Client 10 Recevied 1:1 message from 7
1:1msg	12.001	Client 1 send to Client8
1:1msg	12.0012	Client 8 Recevied 1:1 message from 1
room1	12.2001	members: 4 5 7 3
room1	12.2001	Client3 make new chatting room
room1	12.2003	Client 3 invited
room1	12.2004	Client 4 invited
room1	12.2007	Client 5 invited
room1	12.201	Client 7 invited
1:1msg	12.3001	Client 11 send to Client4
1:1msg	12.3003	Client 4 Recevied 1:1 message from 11
1:1msg	12.4001	Client 4 send to Client10
1:1msg	12.4003	Client 10 Recevied 1:1 message from 4
1	13	0.008
room1	13.0001	Client7 send message
room1	13.0003	Client 7 Received message from 7
room1	13.0005	Client 4 Received message from 7
room1	13.0008	Client 5 Received message from 7
room1	13.001	Client 3 Received message from 7
1:1msg	13.1001	Client 2 send to Client5
1:1msg	13.1003	Client 5 Recevied 1:1 message from 2
room1	13.2001	Client3 send message
room1	13.2003	Client 3 Received message from 3
room1	13.2007	Client 4 Received message from 3
room1	13.2009	Client 5 Received message from 3
room1	13.2012	Client 7 Received message from 3
1:1msg	13.6001	Client 5 send to Client11
1:1msg	13.6004	Client 11 Recevied 1:1 message from 5
room0	13.7001	Client6 send message
room0	13.7003	Client 6 Received message from 6
room0	13.7005	Client 5 Received message from 6
room0	13.7008	Client 2 Received message from 6
